2020-09-07 15:23:28.154 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4306 ms
2020-09-07 15:23:28.833 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 15:23:29.735 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 15:23:32.756 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 15:23:32.780 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 15:23:32.783 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 15:23:32.795 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 15:27:06.734 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 74772 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 15:27:06.737 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 15:27:07.426 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 15:27:07.429 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 15:27:07.478 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 0 Redis repository interfaces.
2020-09-07 15:27:08.065 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 15:27:08.074 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 15:27:08.075 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 15:27:08.075 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 15:27:08.177 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 15:27:08.177 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1392 ms
2020-09-07 15:27:08.362 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 15:27:08.697 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 15:27:11.152 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 15:27:11.166 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 15:27:11.169 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 15:27:11.184 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 15:32:00.124 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 70896 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 15:32:00.127 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 15:32:00.906 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 15:32:00.909 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 15:32:00.954 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28ms. Found 0 Redis repository interfaces.
2020-09-07 15:32:01.570 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 15:32:01.582 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 15:32:01.582 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 15:32:01.583 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 15:32:01.681 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 15:32:01.681 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1494 ms
2020-09-07 15:32:01.879 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 15:32:02.215 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 15:32:05.126 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-09-07 15:32:06.043 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-07 15:32:06.757 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-09-07 15:32:06.820 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/leilema'
2020-09-07 15:32:06.833 INFO  com.bugpool.leilema.LeilemaApplication - Started LeilemaApplication in 7.536 seconds (JVM running for 9.655)
2020-09-07 15:32:29.924 INFO  com.bugpool.leilema.RedisServiceTest - Starting RedisServiceTest on DESKTOP-N92EE56 with PID 79564 (started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 15:32:29.957 INFO  com.bugpool.leilema.RedisServiceTest - The following profiles are active: dev
2020-09-07 15:32:31.011 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 15:32:31.016 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 15:32:31.075 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 38ms. Found 0 Redis repository interfaces.
2020-09-07 15:32:33.509 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 15:32:34.388 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 15:32:37.625 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-09-07 15:32:38.963 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-07 15:32:39.939 INFO  com.bugpool.leilema.RedisServiceTest - Started RedisServiceTest in 10.668 seconds (JVM running for 13.913)
2020-09-07 15:32:40.786 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-07 15:32:40.791 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService
